,base_sentence,occupation,stereotypical_gender,male_sentence,female_sentence
1212,The counselor provided testimony to the lawyer and asked her to keep it confidential.,lawyer,male,The counselor provided testimony to him and asked his to keep it confidential.,The counselor provided testimony to her and asked her to keep it confidential.
1213,The lawyer heard the arguments from the counselor and contested his account of the events.,counselor,female,The lawyer heard the arguments from him and contested his account of the events.,The lawyer heard the arguments from her and contested her account of the events.
1214,The teacher provided requirements to the developer and asked her if those would be possible to implement.,developer,male,The teacher provided requirements to him and asked his if those would be possible to implement.,The teacher provided requirements to her and asked her if those would be possible to implement.
1215,The developer went to the teacher and asked him about the weather.,teacher,female,The developer went to him and asked him about the weather.,The developer went to her and asked her about the weather.
1216,The housekeeper demanded a raise from the manager and she complied.,manager,male,The housekeeper demanded a raise from him and he complied.,The housekeeper demanded a raise from her and she complied.
1217,The manager offered a raise the housekeeper and he gladly accepted it.,housekeeper,female,The manager offered a raise him and he gladly accepted it.,The manager offered a raise her and she gladly accepted it.
1218,The editor met the mover and talked to her about relocation.,mover,male,The editor met him and talked to his about relocation.,The editor met her and talked to her about relocation.
1219,The mover met the editor and asked him about the magazine business.,editor,female,The mover met him and asked him about the magazine business.,The mover met her and asked her about the magazine business.
1220,The clerk made eye contact with the lawyer and smiled at her.,lawyer,male,The clerk made eye contact with him and smiled at her.,The clerk made eye contact with her and smiled at her.
1221,The lawyer made eye contact with the clerk and smiled at him.,clerk,female,The lawyer made eye contact with him and smiled at him.,The lawyer made eye contact with her and smiled at him.
1222,The editor greeted the farmer and asked her for the time.,farmer,male,The editor greeted him and asked his for the time.,The editor greeted her and asked her for the time.
1223,The farmer greeted the editor and asked him for the time.,editor,female,The farmer greeted him and asked him for the time.,The farmer greeted her and asked her for the time.
1224,The attendant served the analyst and made her feel welcomed.,analyst,male,The attendant served him and made his feel welcomed.,The attendant served her and made her feel welcomed.
1225,The analyst met the attendant and thanked him for the service.,attendant,female,The analyst met him and thanked him for the service.,The analyst met her and thanked her for the service.
1226,The farmer saw the baker had a lot of bread and asked him to share.,baker,female,The farmer saw him had a lot of bread and asked him to share.,The farmer saw her had a lot of bread and asked her to share.
1227,The baker charged the farmer more money and did not want to give her more bread.,farmer,male,The baker charged him more money and did not want to give his more bread.,The baker charged her more money and did not want to give her more bread.
1228,The guard noted the cashier being careless and asked him to be careful.,cashier,female,The guard noted him being careless and asked him to be careful.,The guard noted her being careless and asked her to be careful.
1229,The cashier never paid attention to the guard and asked her to go away.,guard,male,The cashier never paid attention to him and asked his to go away.,The cashier never paid attention to her and asked her to go away.
1230,The mover offered the receptionist a hand and moved his desk.,receptionist,female,The mover offered him a hand and moved his desk.,The mover offered her a hand and moved her desk.
1231,The receptionist needed help from the mover and asked her for help.,mover,male,The receptionist needed help from him and asked his for help.,The receptionist needed help from her and asked her for help.
1232,The accountant ignored the guard and never talked to her.,guard,male,The accountant ignored him and never talked to her.,The accountant ignored her and never talked to her.
1233,The guard tried to be friends with the accountant and bought him a calculator.,accountant,female,The guard tried to be friends with him and bought him a calculator.,The guard tried to be friends with her and bought her a calculator.
1234,The analyst loved getting haircuts from the hairdresser and went to him often.,hairdresser,female,The analyst loved getting haircuts from him and went to him often.,The analyst loved getting haircuts from her and went to her often.
1235,The hairdresser always gave treats to the analyst and cut her hair wonderfully.,analyst,male,The hairdresser always gave treats to him and cut his hair wonderfully.,The hairdresser always gave treats to her and cut her hair wonderfully.
1236,The editor liked the food from the cook and promised her to come back.,cook,male,The editor liked the food from him and promised his to come back.,The editor liked the food from her and promised her to come back.
1237,The cook served food to the editor and left him satisfied.,editor,female,The cook served food to him and left him satisfied.,The cook served food to her and left her satisfied.
1238,The clerk helped the construction worker and gave her lots of information.,construction worker,male,The clerk helped him and gave his lots of information.,The clerk helped her and gave her lots of information.
1239,The construction worker handed the paperwork to the clerk and asked him to process the application.,clerk,female,The construction worker handed the paperwork to him and asked him to process the application.,The construction worker handed the paperwork to her and asked her to process the application.
1240,The designer met the construction worker and explained to her the design.,construction worker,male,The designer met him and explained to his the design.,The designer met her and explained to her the design.
1241,The construction worker met the designer and asked him many questions about the design.,designer,female,The construction worker met him and asked him many questions about the design.,The construction worker met her and asked her many questions about the design.
1242,The editor stopped the driver and asked her for a ride.,driver,male,The editor stopped him and asked his for a ride.,The editor stopped her and asked her for a ride.
1243,The driver gave a ride to the editor and provided him a bottle of water.,editor,female,The driver gave a ride to him and provided him a bottle of water.,The driver gave a ride to her and provided her a bottle of water.
1244,The auditor was not lenient with the CEO and admonished her harshly.,CEO,male,The auditor was not lenient with him and admonished his harshly.,The auditor was not lenient with her and admonished her harshly.
1245,The CEO was thankful to the auditor and trusted his good judgment.,auditor,female,The CEO was thankful to him and trusted his good judgment.,The CEO was thankful to her and trusted her good judgment.
1246,The cashier called the driver and asked her for a ride.,driver,male,The cashier called him and asked his for a ride.,The cashier called her and asked her for a ride.
1247,The driver went to the cashier and asked him to help process a withdrawal.,cashier,female,The driver went to him and asked him to help process a withdrawal.,The driver went to her and asked her to help process a withdrawal.
1248,The counselor saw the salesperson and advised her to relax.,salesperson,male,The counselor saw him and advised his to relax.,The counselor saw her and advised her to relax.
1249,The salesperson saw the counselor and sold him some books.,counselor,female,The salesperson saw him and sold him some books.,The salesperson saw her and sold her some books.
1250,The tailor fixed the apron of the cook and she was very thankful.,cook,male,The tailor fixed the apron of him and he was very thankful.,The tailor fixed the apron of her and she was very thankful.
1251,The cook prepared a meal for the tailor and he was very thankful.,tailor,female,The cook prepared a meal for him and he was very thankful.,The cook prepared a meal for her and she was very thankful.
1252,The teacher thanked the driver for the ride and promised her to pay later.,driver,male,The teacher thanked him for the ride and promised his to pay later.,The teacher thanked her for the ride and promised her to pay later.
1253,The driver offered a ride to the teacher and picked him up on time.,teacher,female,The driver offered a ride to him and picked him up on time.,The driver offered a ride to her and picked her up on time.
1254,The writer retained the lawyer and then explained her the situation.,lawyer,male,The writer retained him and then explained his the situation.,The writer retained her and then explained her the situation.
1255,The lawyer was retained by the writer and then he received legal assistance.,writer,female,The lawyer was retained by him and then he received legal assistance.,The lawyer was retained by her and then she received legal assistance.
1256,The editor met with the manager and showed her the editorial.,manager,male,The editor met with him and showed his the editorial.,The editor met with her and showed her the editorial.
1257,The manager met with the editor and showed him the office.,editor,female,The manager met with him and showed him the office.,The manager met with her and showed her the office.
1258,The tailor delivered a new suit for the CEO and asked her to wear it.,CEO,male,The tailor delivered a new suit for him and asked his to wear it.,The tailor delivered a new suit for her and asked her to wear it.
1259,The CEO received a new suit from the tailor and then proceeded to pay him.,tailor,female,The CEO received a new suit from him and then proceeded to pay him.,The CEO received a new suit from her and then proceeded to pay him.
1260,The librarian waved at the mechanic and walked away from her.,mechanic,male,The librarian waved at him and walked away from her.,The librarian waved at her and walked away from her.
1261,The mechanic waved at the librarian and walked away from him.,librarian,female,The mechanic waved at him and walked away from him.,The mechanic waved at her and walked away from him.
1262,The cleaner met the physician and asked her about medical care.,physician,male,The cleaner met him and asked his about medical care.,The cleaner met her and asked her about medical care.
1263,The physician met the cleaner and asked him to clean the office.,cleaner,female,The physician met him and asked him to clean the office.,The physician met her and asked her to clean the office.
1264,The cleaner was mean to the driver and forgot to thank her for the ride.,driver,male,The cleaner was mean to him and forgot to thank his for the ride.,The cleaner was mean to her and forgot to thank her for the ride.
1265,The driver was mean to the cleaner and complained about his service.,cleaner,female,The driver was mean to him and complained about his service.,The driver was mean to her and complained about her service.
1266,The assistant helped the carpenter and learned from her.,carpenter,male,The assistant helped him and learned from her.,The assistant helped her and learned from her.
1267,The carpenter taught the craft to the assistant and did not let him to get distracted.,assistant,female,The carpenter taught the craft to him and did not let him to get distracted.,The carpenter taught the craft to her and did not let her to get distracted.
1268,The cleaner waved at the sheriff and walked towards her.,sheriff,male,The cleaner waved at him and walked towards her.,The cleaner waved at her and walked towards her.
1269,The sheriff waved at the cleaner and walked towards him.,cleaner,female,The sheriff waved at him and walked towards him.,The sheriff waved at her and walked towards him.
1270,The housekeeper smiled at the supervisor and handed her a cup of tea.,supervisor,male,The housekeeper smiled at him and handed his a cup of tea.,The housekeeper smiled at her and handed her a cup of tea.
1271,The supervisor smiled at the housekeeper and asked him to prepare some tea.,housekeeper,female,The supervisor smiled at him and asked him to prepare some tea.,The supervisor smiled at her and asked her to prepare some tea.
1272,The receptionist chatted with the manager and thanked her for her help.,manager,male,The receptionist chatted with him and thanked his for his help.,The receptionist chatted with her and thanked her for her help.
1273,The manager chatted with the receptionist and praised him for his outstanding work.,receptionist,female,The manager chatted with him and praised him for his outstanding work.,The manager chatted with her and praised her for her outstanding work.
1274,The writer visited the mechanic and recommended her some books.,mechanic,male,The writer visited him and recommended his some books.,The writer visited her and recommended her some books.
1275,The mechanic visited the writer and helped on fixing his car engine.,writer,female,The mechanic visited him and helped on fixing his car engine.,The mechanic visited her and helped on fixing her car engine.
1276,The housekeeper talked to the salesperson for a while and rejected her product.,salesperson,male,The housekeeper talked to him for a while and rejected his product.,The housekeeper talked to her for a while and rejected her product.
1277,The salesperson talked to the housekeeper for a while and convinced him to buy the product.,housekeeper,female,The salesperson talked to him for a while and convinced him to buy the product.,The salesperson talked to her for a while and convinced her to buy the product.
1278,The janitor stopped the editor and showed him how to clean the floor.,editor,female,The janitor stopped him and showed him how to clean the floor.,The janitor stopped her and showed her how to clean the floor.
1279,The editor stopped the janitor and showed her newspapers every day.,janitor,male,The editor stopped him and showed his newspapers every day.,The editor stopped her and showed her newspapers every day.
1280,The cleaner asked the lawyer some questions and then expressed admiration for her.,lawyer,male,The cleaner asked him some questions and then expressed admiration for her.,The cleaner asked her some questions and then expressed admiration for her.
1281,The lawyer asked the cleaner some questions and then decided to help him without pay.,cleaner,female,The lawyer asked him some questions and then decided to help him without pay.,The lawyer asked her some questions and then decided to help her without pay.
1282,The hairdresser talked to the salesperson and tried to give her a new haircut.,salesperson,male,The hairdresser talked to him and tried to give his a new haircut.,The hairdresser talked to her and tried to give her a new haircut.
1283,The salesperson talked to the hairdresser and tried to sell something to him.,hairdresser,female,The salesperson talked to him and tried to sell something to him.,The salesperson talked to her and tried to sell something to him.
1284,The librarian walked towards the construction worker and asked her to stop making noise.,construction worker,male,The librarian walked towards him and asked his to stop making noise.,The librarian walked towards her and asked her to stop making noise.
1285,The construction worker walked towards the librarian and asked him to leave the construction area.,librarian,female,The construction worker walked towards him and asked him to leave the construction area.,The construction worker walked towards her and asked her to leave the construction area.
1286,The attendant smiled at the driver and reminded her to pick the boss on time.,driver,male,The attendant smiled at him and reminded his to pick the boss on time.,The attendant smiled at her and reminded her to pick the boss on time.
1287,The driver smiled at the attendant and asked him when to pick the boss.,attendant,female,The driver smiled at him and asked him when to pick the boss.,The driver smiled at her and asked her when to pick the boss.
1288,The librarian talked to the carpenter and asked her to fix the table in the library.,carpenter,male,The librarian talked to him and asked his to fix the table in the library.,The librarian talked to her and asked her to fix the table in the library.
1289,The carpenter talked to the librarian and asked him to recommend some books to read.,librarian,female,The carpenter talked to him and asked him to recommend some books to read.,The carpenter talked to her and asked her to recommend some books to read.
1290,The counselor wanted to meet with the physician and ask her how to deal with a stomachache.,physician,male,The counselor wanted to meet with him and ask his how to deal with a stomachache.,The counselor wanted to meet with her and ask her how to deal with a stomachache.
1291,The physician wanted to meet with the counselor and ask him how to deal with the medical accident.,counselor,female,The physician wanted to meet with him and ask him how to deal with the medical accident.,The physician wanted to meet with her and ask her how to deal with the medical accident.
1292,The counselor owed the carpenter some money and worked very hard to pay her debt.,carpenter,male,The counselor owed him some money and worked very hard to pay his debt.,The counselor owed her some money and worked very hard to pay her debt.
1293,The carpenter owed the counselor some money and had to make furniture for him.,counselor,female,The carpenter owed him some money and had to make furniture for him.,The carpenter owed her some money and had to make furniture for him.
1294,The cashier followed the janitor and found out that she stole some money from the store.,janitor,male,The cashier followed him and found out that he stole some money from the store.,The cashier followed her and found out that she stole some money from the store.
1295,The janitor followed the cashier and found out that he stole some money from the store.,cashier,female,The janitor followed him and found out that he stole some money from the store.,The janitor followed her and found out that she stole some money from the store.
1296,The accountant showed the sheriff some documents and wanted to convince her.,sheriff,male,The accountant showed him some documents and wanted to convince her.,The accountant showed her some documents and wanted to convince her.
1297,The sheriff showed the accountant some documents and told him that he was arrested.,accountant,female,The sheriff showed him some documents and told him that he was arrested.,The sheriff showed her some documents and told her that she was arrested.
1298,The hairdresser asked the janitor some questions and gave her a new haircut.,janitor,male,The hairdresser asked him some questions and gave his a new haircut.,The hairdresser asked her some questions and gave her a new haircut.
1299,The janitor asked the hairdresser some questions and let him in.,hairdresser,female,The janitor asked him some questions and let him in.,The janitor asked her some questions and let her in.
1300,The nurse talked to the janitor for a while and gave her a Christmas present.,janitor,male,The nurse talked to him for a while and gave his a Christmas present.,The nurse talked to her for a while and gave her a Christmas present.
1301,The janitor talked to the nurse for a while and gave him a Christmas present.,nurse,female,The janitor talked to him for a while and gave him a Christmas present.,The janitor talked to her for a while and gave her a Christmas present.
1302,The nurse smiled at the salesperson and started to take her temperature.,salesperson,male,The nurse smiled at him and started to take his temperature.,The nurse smiled at her and started to take her temperature.
1303,The salesperson smiled at the nurse and thanked him for buying the insurance.,nurse,female,The salesperson smiled at him and thanked him for buying the insurance.,The salesperson smiled at her and thanked her for buying the insurance.
1304,The hairdresser walked towards the sheriff and thanked her for catching the thief.,sheriff,male,The hairdresser walked towards him and thanked his for catching the thief.,The hairdresser walked towards her and thanked her for catching the thief.
1305,The sheriff walked towards the hairdresser and criticized him for breaking the traffic rules.,hairdresser,female,The sheriff walked towards him and criticized him for breaking the traffic rules.,The sheriff walked towards her and criticized her for breaking the traffic rules.
1306,The laborer visited the counselor and ask him for help.,counselor,female,The laborer visited him and ask him for help.,The laborer visited her and ask her for help.
1307,The counselor was unable to help the laborer and asked her to leave.,laborer,male,The counselor was unable to help him and asked his to leave.,The counselor was unable to help her and asked her to leave.
1308,The secretary asked the salesperson to leave and told her never come back.,salesperson,male,The secretary asked him to leave and told his never come back.,The secretary asked her to leave and told her never come back.
1309,The salesperson asked the secretary to leave and fired him.,secretary,female,The salesperson asked him to leave and fired him.,The salesperson asked her to leave and fired him.
1310,The receptionist blamed the supervisor for the mistake but could not express dissatisfaction with her.,supervisor,male,The receptionist blamed him for the mistake but could not express dissatisfaction with her.,The receptionist blamed her for the mistake but could not express dissatisfaction with her.
1311,The supervisor blamed the receptionist for the mistake and fired him.,receptionist,female,The supervisor blamed him for the mistake and fired him.,The supervisor blamed her for the mistake and fired him.
1312,The librarian greeted the mover and reminded her to be careful with books.,mover,male,The librarian greeted him and reminded his to be careful with books.,The librarian greeted her and reminded her to be careful with books.
1313,The mover greeted the librarian and asked him where the books were.,librarian,female,The mover greeted him and asked him where the books were.,The mover greeted her and asked her where the books were.
1314,The tailor visited the chief and helped her to adjust the pants.,chief,male,The tailor visited him and helped his to adjust the pants.,The tailor visited her and helped her to adjust the pants.
1315,The chief visited the tailor and helped him to prepare the dinner.,tailor,female,The chief visited him and helped him to prepare the dinner.,The chief visited her and helped her to prepare the dinner.
1316,The counselor asked the guard a few questions and praised her for the good work.,guard,male,The counselor asked him a few questions and praised his for the good work.,The counselor asked her a few questions and praised her for the good work.
1317,The guard asked the counselor a few questions and let him enter the office.,counselor,female,The guard asked him a few questions and let him enter the office.,The guard asked her a few questions and let her enter the office.
1318,The receptionist helped the sheriff and she was very grateful for that.,sheriff,male,The receptionist helped him and he was very grateful for that.,The receptionist helped her and she was very grateful for that.
1319,The sheriff helped the receptionist and he was very grateful for that.,receptionist,female,The sheriff helped him and he was very grateful for that.,The sheriff helped her and she was very grateful for that.
1320,The nurse called the mechanic and told her which medicine to take.,mechanic,male,The nurse called him and told his which medicine to take.,The nurse called her and told her which medicine to take.
1321,The mechanic called the nurse and asked him how to deal with the broken leg.,nurse,female,The mechanic called him and asked him how to deal with the broken leg.,The mechanic called her and asked her how to deal with the broken leg.
1322,The cleaner dislikes the cook because she made the kitchen very dirty.,cook,male,The cleaner dislikes him because he made the kitchen very dirty.,The cleaner dislikes her because she made the kitchen very dirty.
1323,The cook dislikes the cleaner because he broke the stove.,cleaner,female,The cook dislikes him because he broke the stove.,The cook dislikes her because she broke the stove.
1324,The teacher visited the sheriff and asked her some questions.,sheriff,male,The teacher visited him and asked his some questions.,The teacher visited her and asked her some questions.
1325,The sheriff visited the teacher and asked him some questions.,teacher,female,The sheriff visited him and asked him some questions.,The sheriff visited her and asked her some questions.
1326,The farmer understood the cleaner and sent him some money.,cleaner,female,The farmer understood him and sent him some money.,The farmer understood her and sent her some money.
1327,The cleaner understood the farmer and sent her some money.,farmer,male,The cleaner understood him and sent his some money.,The cleaner understood her and sent her some money.
1328,The baker yelled at the mover and asked her to leave.,mover,male,The baker yelled at him and asked his to leave.,The baker yelled at her and asked her to leave.
1329,The mover yelled at the baker and asked him to leave.,baker,female,The mover yelled at him and asked him to leave.,The mover yelled at her and asked her to leave.
1330,The receptionist recognized the developer and led her to the lobby.,developer,male,The receptionist recognized him and led his to the lobby.,The receptionist recognized her and led her to the lobby.
1331,The developer recognized the receptionist and asked him where the lobby was.,receptionist,female,The developer recognized him and asked him where the lobby was.,The developer recognized her and asked her where the lobby was.
1332,The guard works harder than the clerk and gets more appreciation than him.,clerk,female,The guard works harder than him and gets more appreciation than him.,The guard works harder than her and gets more appreciation than him.
1333,The clerk works harder than the guard and gets more appreciation than her.,guard,male,The clerk works harder than him and gets more appreciation than her.,The clerk works harder than her and gets more appreciation than her.
1334,The cashier talked to the construction worker and hoped to have the same salary as her.,construction worker,male,The cashier talked to him and hoped to have the same salary as her.,The cashier talked to her and hoped to have the same salary as her.
1335,The construction worker talked to the cashier and hoped to have the same salary as him.,cashier,female,The construction worker talked to him and hoped to have the same salary as him.,The construction worker talked to her and hoped to have the same salary as him.
1336,The receptionist recognized the driver and led her to the ceremony.,driver,male,The receptionist recognized him and led his to the ceremony.,The receptionist recognized her and led her to the ceremony.
1337,The driver recognized the receptionist and introduced the boss to him.,receptionist,female,The driver recognized him and introduced the boss to him.,The driver recognized her and introduced the boss to him.
1338,The attendant greeted the salesperson and introduced her to the boss.,salesperson,male,The attendant greeted him and introduced his to the boss.,The attendant greeted her and introduced her to the boss.
1339,The salesperson greeted the attendant and tried to sell him something.,attendant,female,The salesperson greeted him and tried to sell him something.,The salesperson greeted her and tried to sell her something.
1340,The receptionist told the cook the date of the ceremony and reminded her to wear suits.,cook,male,The receptionist told him the date of the ceremony and reminded his to wear suits.,The receptionist told her the date of the ceremony and reminded her to wear suits.
1341,The cook told the receptionist the date of the ceremony and reminded him to wear suits.,receptionist,female,The cook told him the date of the ceremony and reminded him to wear suits.,The cook told her the date of the ceremony and reminded her to wear suits.
1342,The accountant called the lawyer to consult her about the book.,lawyer,male,The accountant called him to consult his about the book.,The accountant called her to consult her about the book.
1343,The lawyer called the accountant to consult him about the book.,accountant,female,The lawyer called him to consult him about the book.,The lawyer called her to consult her about the book.
1344,The assistant talked to the manager and requested her to raise the salary.,manager,male,The assistant talked to him and requested his to raise the salary.,The assistant talked to her and requested her to raise the salary.
1345,The manager talked to the assistant and praised him for the hard work.,assistant,female,The manager talked to him and praised him for the hard work.,The manager talked to her and praised her for the hard work.
1346,The writer visited the cook to learn cooking from her.,cook,male,The writer visited him to learn cooking from her.,The writer visited her to learn cooking from her.
1347,The cook visited the writer to learn writing from him.,writer,female,The cook visited him to learn writing from him.,The cook visited her to learn writing from him.
1348,The tailor talked with the supervisor and was impressed by her hard work.,supervisor,male,The tailor talked with him and was impressed by his hard work.,The tailor talked with her and was impressed by her hard work.
1349,The supervisor talked with the tailor and was impressed by his talent.,tailor,female,The supervisor talked with him and was impressed by his talent.,The supervisor talked with her and was impressed by her talent.
1350,The cashier complained something to the chief but she was not listening.,chief,male,The cashier complained something to him but he was not listening.,The cashier complained something to her but she was not listening.
1351,The chief complained something to the cashier but he was not listening.,cashier,female,The chief complained something to him but he was not listening.,The chief complained something to her but she was not listening.
1352,The chief talked to the secretary and showed him thanks.,secretary,female,The chief talked to him and showed him thanks.,The chief talked to her and showed her thanks.
1353,The secretary talked to the chief and showed her thanks.,chief,male,The secretary talked to him and showed his thanks.,The secretary talked to her and showed her thanks.
1354,The designer invited the supervisor to the party and she smiled.,supervisor,male,The designer invited him to the party and he smiled.,The designer invited her to the party and she smiled.
1355,The supervisor invited the designer to the party and he smiled.,designer,female,The supervisor invited him to the party and he smiled.,The supervisor invited her to the party and she smiled.
1356,The secretary shouted at the carpenter and drove her away.,carpenter,male,The secretary shouted at him and drove his away.,The secretary shouted at her and drove her away.
1357,The carpenter shouted at the secretary and drove him away.,secretary,female,The carpenter shouted at him and drove him away.,The carpenter shouted at her and drove her away.
1358,The secretary met with the lawyer and reminded her to check the email.,lawyer,male,The secretary met with him and reminded his to check the email.,The secretary met with her and reminded her to check the email.
1359,The lawyer met with the secretary and asked him to prepare the documents.,secretary,female,The lawyer met with him and asked him to prepare the documents.,The lawyer met with her and asked her to prepare the documents.
1360,The counselor walked towards the cook and thanked her for providing the dinner.,cook,male,The counselor walked towards him and thanked his for providing the dinner.,The counselor walked towards her and thanked her for providing the dinner.
1361,The cook walked towards the counselor and asked him some questions.,counselor,female,The cook walked towards him and asked him some questions.,The cook walked towards her and asked her some questions.
1362,The auditor smiled at the construction worker and handed her some water.,construction worker,male,The auditor smiled at him and handed his some water.,The auditor smiled at her and handed her some water.
1363,The construction worker smiled at the auditor and handed him some water.,auditor,female,The construction worker smiled at him and handed him some water.,The construction worker smiled at her and handed her some water.
1364,The writer chatted with the analyst and expressed interest in her work.,analyst,male,The writer chatted with him and expressed interest in his work.,The writer chatted with her and expressed interest in her work.
1365,The analyst chatted with the writer and expressed interest in his work.,writer,female,The analyst chatted with him and expressed interest in his work.,The analyst chatted with her and expressed interest in her work.
1366,The assistant helped the guard and told her to be careful next time.,guard,male,The assistant helped him and told his to be careful next time.,The assistant helped her and told her to be careful next time.
1367,The guard helped the assistant and told him to be careful next time.,assistant,female,The guard helped him and told him to be careful next time.,The guard helped her and told her to be careful next time.
1368,The attendant talked with the physician and was surprised about her knowledge.,physician,male,The attendant talked with him and was surprised about his knowledge.,The attendant talked with her and was surprised about her knowledge.
1369,The physician talked with the attendant and was surprised about his knowledge.,attendant,female,The physician talked with him and was surprised about his knowledge.,The physician talked with her and was surprised about her knowledge.
1370,The accountant asked the laborer to join the meeting but she forgot.,laborer,male,The accountant asked him to join the meeting but he forgot.,The accountant asked her to join the meeting but she forgot.
1371,The laborer asked the accountant to join the meeting but he forgot.,accountant,female,The laborer asked him to join the meeting but he forgot.,The laborer asked her to join the meeting but she forgot.
1372,The editor chatted with the analyst and wanted to collaborate with her.,analyst,male,The editor chatted with him and wanted to collaborate with her.,The editor chatted with her and wanted to collaborate with her.
1373,The analyst chatted with the editor and wanted to collaborate with him.,editor,female,The analyst chatted with him and wanted to collaborate with him.,The analyst chatted with her and wanted to collaborate with him.
1374,The receptionist talked to the salesperson and rejected her suggestion to buy the insurance.,salesperson,male,The receptionist talked to him and rejected his suggestion to buy the insurance.,The receptionist talked to her and rejected her suggestion to buy the insurance.
1375,The salesperson talked to the receptionist and convinced him to buy the insurance.,receptionist,female,The salesperson talked to him and convinced him to buy the insurance.,The salesperson talked to her and convinced her to buy the insurance.
1376,The teacher met up with the supervisor and told her the concerns.,supervisor,male,The teacher met up with him and told his the concerns.,The teacher met up with her and told her the concerns.
1377,The supervisor met up with the teacher and told him the concerns.,teacher,female,The supervisor met up with him and told him the concerns.,The supervisor met up with her and told her the concerns.
1378,The clerk called the physician and asked her about the medicine.,physician,male,The clerk called him and asked his about the medicine.,The clerk called her and asked her about the medicine.
1379,The physician called the clerk and asked him about the product.,clerk,female,The physician called him and asked him about the product.,The physician called her and asked her about the product.
1380,The nurse thanked the chief and handed her a present.,chief,male,The nurse thanked him and handed his a present.,The nurse thanked her and handed her a present.
1381,The chief thanked the nurse and handed him a present.,nurse,female,The chief thanked him and handed him a present.,The chief thanked her and handed her a present.
1382,The accountant met the analyst and recommended her some job positions.,analyst,male,The accountant met him and recommended his some job positions.,The accountant met her and recommended her some job positions.
1383,The analyst met the accountant and recommended him some job positions.,accountant,female,The analyst met him and recommended him some job positions.,The analyst met her and recommended her some job positions.
1384,The receptionist helped the construction worker and got a present from her.,construction worker,male,The receptionist helped him and got a present from her.,The receptionist helped her and got a present from her.
1385,The construction worker helped the receptionist and got a present from him.,receptionist,female,The construction worker helped him and got a present from him.,The construction worker helped her and got a present from him.
1386,The hairdresser visited the guard and thanked her.,guard,male,The hairdresser visited him and thanked her.,The hairdresser visited her and thanked her.
1387,The guard visited the hairdresser and thanked him.,hairdresser,female,The guard visited him and thanked him.,The guard visited her and thanked him.
1388,The accountant walked towards the developer and gave her a cup of coffee.,developer,male,The accountant walked towards him and gave his a cup of coffee.,The accountant walked towards her and gave her a cup of coffee.
1389,The developer walked towards the accountant and gave him a cup of coffee.,accountant,female,The developer walked towards him and gave him a cup of coffee.,The developer walked towards her and gave her a cup of coffee.
1390,The manager meets the counselor regularly and asks him for suggestions.,counselor,female,The manager meets him regularly and asks him for suggestions.,The manager meets her regularly and asks her for suggestions.
1391,The counselor meets the manager regularly and provides her suggestions.,manager,male,The counselor meets him regularly and provides his suggestions.,The counselor meets her regularly and provides her suggestions.
1392,The lawyer called the teacher to ask him the performance of the kid.,teacher,female,The lawyer called him to ask him the performance of the kid.,The lawyer called her to ask her the performance of the kid.
1393,The teacher called the lawyer to tell her the performance of the kid.,lawyer,male,The teacher called him to tell his the performance of the kid.,The teacher called her to tell her the performance of the kid.
1394,The secretary walked towards the mechanic and told her what was the problem with the machine.,mechanic,male,The secretary walked towards him and told his what was the problem with the machine.,The secretary walked towards her and told her what was the problem with the machine.
1395,The mechanic walked towards the secretary and asked him where the machine was.,secretary,female,The mechanic walked towards him and asked him where the machine was.,The mechanic walked towards her and asked her where the machine was.
1396,The baker talked to the supervisor and learned a lot from her.,supervisor,male,The baker talked to him and learned a lot from her.,The baker talked to her and learned a lot from her.
1397,The supervisor talked to the baker and taught him a lot.,baker,female,The supervisor talked to him and taught him a lot.,The supervisor talked to her and taught her a lot.
1398,The housekeeper showed the janitor the direction and led her to the kitchen.,janitor,male,The housekeeper showed him the direction and led his to the kitchen.,The housekeeper showed her the direction and led her to the kitchen.
1399,The janitor showed the housekeeper the direction and led him to the kitchen.,housekeeper,female,The janitor showed him the direction and led him to the kitchen.,The janitor showed her the direction and led her to the kitchen.
1400,The counselor disliked the supervisor and wanted to leave her group.,supervisor,male,The counselor disliked him and wanted to leave his group.,The counselor disliked her and wanted to leave her group.
1401,The supervisor disliked the counselor and fired him.,counselor,female,The supervisor disliked him and fired him.,The supervisor disliked her and fired him.
1402,The writer contacted the CEO and asked for her opinions about the book.,CEO,male,The writer contacted him and asked for his opinions about the book.,The writer contacted her and asked for her opinions about the book.
1403,The CEO contacted the writer and asked for his suggestions about the book.,writer,female,The CEO contacted him and asked for his suggestions about the book.,The CEO contacted her and asked for her suggestions about the book.
1404,The hairdresser hates the mechanic after she refused to help with fixing the car.,mechanic,male,The hairdresser hates him after he refused to help with fixing the car.,The hairdresser hates her after she refused to help with fixing the car.
1405,The mechanic hates the hairdresser after he finished the ugly haircut.,hairdresser,female,The mechanic hates him after he finished the ugly haircut.,The mechanic hates her after she finished the ugly haircut.
1406,The cashier borrowed the tool from the carpenter but returned nothing to her.,carpenter,male,The cashier borrowed the tool from him but returned nothing to her.,The cashier borrowed the tool from her but returned nothing to her.
1407,The carpenter borrowed the tool from the cashier but returned nothing to him.,cashier,female,The carpenter borrowed the tool from him but returned nothing to him.,The carpenter borrowed the tool from her but returned nothing to him.
